GEOSTAT_gr;GRD_ID;kolej;10km;15km;20km
345;1kmN3064E4942;;0;;
624;1kmN3065E4942;;;;
1106;1kmN3067E4942;;;;
139;1kmN3070E4942;;;0;
182;1kmN3071E4942;;;;
187;1kmN3072E4942;;;;
48;1kmN3073E4942;;;5;
107;1kmN3074E4942;;;1;
65;1kmN3075E4942;;;1;0
81;1kmN3076E4942;;;;
8;1kmN3077E4942;;;;
117;1kmN3078E4942;;;;5
57;1kmN3079E4942;;;;
62;1kmN3080E4942;;;;
13;1kmN3081E4942;;;;1
8;1kmN3033E4943;;;;
22;1kmN3034E4943;;;;
543;1kmN3035E4943;;;;
215;1kmN3036E4943;;;;
37;1kmN3037E4943;;;;0
424;1kmN3038E4943;;;;5
897;1kmN3039E4943;;;;
156;1kmN3040E4943;;;;
447;1kmN3041E4943;;;;
357;1kmN3042E4943;;;0;
318;1kmN3043E4943;;;5;
81;1kmN3044E4943;;;;
71;1kmN3045E4943;;;;
180;1kmN3046E4943;;;;
174;1kmN3047E4943;;;;
7;1kmN3048E4943;;5;;3
136;1kmN3049E4943;;0;;3
600;1kmN3051E4943;;;;3
194;1kmN3052E4943;;;;
262;1kmN3053E4943;;;;
450;1kmN3054E4943;;;1;
848;1kmN3057E4943;1;;;
8647;1kmN3058E4943;1;;;
4915;1kmN3059E4943;1;;;
1017;1kmN3060E4943;1;;;3
1613;1kmN3061E4943;;;;3
2153;1kmN3062E4943;;;;3
350;1kmN3063E4943;;0;;3
1021;1kmN3064E4943;;0;;
145;1kmN3065E4943;;;;
112;1kmN3066E4943;;;;
257;1kmN3067E4943;;;;
506;1kmN3071E4943;;;;
30;1kmN3072E4943;;;;
15;1kmN3073E4943;;;5;
158;1kmN3074E4943;;;;
46;1kmN3075E4943;;;1;0
695;1kmN3076E4943;;;1;
877;1kmN3077E4943;;;;
1613;1kmN3078E4943;;;;5
283;1kmN3079E4943;;;;
191;1kmN3080E4943;;;;
24;1kmN3034E4944;;;;
540;1kmN3035E4944;;;;
151;1kmN3036E4944;;;;
200;1kmN3037E4944;;;;0
113;1kmN3038E4944;;;;5
317;1kmN3039E4944;;;;
466;1kmN3040E4944;;;;
1081;1kmN3041E4944;;;;
5;1kmN3042E4944;;;;
32;1kmN3043E4944;;;5;
94;1kmN3044E4944;;;0;
547;1kmN3045E4944;;;;
645;1kmN3046E4944;;;;3
51;1kmN3047E4944;;;;3
3;1kmN3049E4944;;0;;
128;1kmN3050E4944;;0;;
430;1kmN3051E4944;;0;;
526;1kmN3053E4944;;;1;
833;1kmN3054E4944;1;;1;
282;1kmN3055E4944;1;;;
6547;1kmN3057E4944;;;;
11802;1kmN3058E4944;1;;;
11246;1kmN3059E4944;;;;
4684;1kmN3060E4944;1;;;
6366;1kmN3061E4944;;0;;
7992;1kmN3062E4944;;1;;
36;1kmN3063E4944;;1;;3
12;1kmN3064E4944;;1;;3
8541;1kmN3065E4944;;1;;3
2776;1kmN3066E4944;;1;;
19;1kmN3067E4944;;1;;
482;1kmN3068E4944;;5;0;
196;1kmN3069E4944;;;0;
59;1kmN3071E4944;;;;
21;1kmN3073E4944;;;5;
14;1kmN3074E4944;;;;0
16;1kmN3075E4944;;;;0
119;1kmN3076E4944;;;1;
1299;1kmN3077E4944;;;1;
2557;1kmN3078E4944;;;;5
127;1kmN3079E4944;;;;
308;1kmN3080E4944;;;;
11;1kmN3084E4944;;;;
16;1kmN3085E4944;;;;
5;1kmN3033E4945;;;;
352;1kmN3034E4945;;;;
32;1kmN3035E4945;;;;
319;1kmN3036E4945;;;;
194;1kmN3037E4945;;;;
458;1kmN3038E4945;;;;5
744;1kmN3039E4945;;;;
